id;titulo;url;lugar_ejecucion;duracion;fecha_ini;fecha_fin;contrapartida_pesos;contrapartida_especie;palabra_clave;convocatoria
1;mobile Fish;https://lavinia.name;Dam;Practical Fresh Pants;2019-06-03T14:32:23;2019-06-04T01:32:15;70807;65088;Tasty Metal Bacon;red Chips Soap
2;Home Loan Account;http://holden.com;Namibia;Steel zero administration;2019-06-03T20:10:25;2019-06-03T23:22:47;45606;9060;Savings Account syndicate Planner;Refined Rubber Chicken Table
3;Automotive;https://virgil.name;envisioneer Music Public-key;infomediaries;2019-06-04T02:02:15;2019-06-03T14:19:36;49517;83319;Salad;Digitized invoice
4;convergence;http://karson.name;Industrial;connect Markets Chief;2019-06-03T14:37:01;2019-06-03T11:30:43;92187;32654;Georgia;Tasty Plastic Pizza scale
5;South Georgia and the South Sandwich Islands;https://fletcher.org;Home Loan Account;Plastic;2019-06-03T09:42:50;2019-06-04T01:00:00;7455;1563;deliverables reinvent 24 hour;overriding
6;monitor 1080p Checking Account;https://florida.name;Internal;Investment Account archive Fantastic Plastic Chicken;2019-06-03T21:09:43;2019-06-03T12:59:04;72960;59129;tangible Mississippi;Frozen bus
7;hard drive Robust Networked;http://joyce.net;Small partnerships;Outdoors;2019-06-03T13:41:33;2019-06-03T17:33:27;31435;56327;European Unit of Account 9(E.U.A.-9) Concrete;relationships override
8;Brand;https://effie.net;JSON;virtual deposit;2019-06-03T08:03:05;2019-06-03T18:00:34;80367;21844;e-business;Ghana back-end National
9;Direct;http://danny.name;Jewelery cutting-edge;Games;2019-06-03T16:42:31;2019-06-03T16:08:54;41741;48482;Bahamian Dollar;24/7
10;Gloves sky blue Oklahoma;http://frank.com;Versatile Exclusive Moroccan Dirham;capability zero tolerance Computers;2019-06-03T14:20:13;2019-06-03T05:31:40;50267;41103;Home;Investor Public-key
