id;nombre_adjunto;fecha_creacion;fecha_modificacion;estado_adjunto;adjunto_proyecto_fase;nombre_archivo_original;fecha_inicio;fecha_fin;archivo;archivo_content_type
1;parse;2020-10-07;2020-10-07;96588;Quality-focused experiences;Rustic Fresh Sausages Principal Personal Loan Account;2020-10-08;2020-10-07;../fake-data/blob/hipster.png;image/png
2;ROI;2020-10-08;2020-10-07;42419;web-enabled Colorado application;Steel Security Consultant;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
3;Sleek Personal Loan Account;2020-10-07;2020-10-07;18613;index;Dalasi East Caribbean Dollar Mobility;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
4;eyeballs;2020-10-08;2020-10-07;13702;Bacon grey cultivate;indexing;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
5;Tasty Cotton Chips French Polynesia;2020-10-07;2020-10-07;86981;incentivize;Regional Dynamic;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
6;parsing Macedonia;2020-10-08;2020-10-07;68999;access;Islands AGP;2020-10-07;2020-10-08;../fake-data/blob/hipster.png;image/png
7;dynamic Montana withdrawal;2020-10-07;2020-10-07;83626;Rhode Island transmitting Small;Tools;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
8;payment;2020-10-07;2020-10-07;35311;Stand-alone initiatives;Clothing Chief circuit;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
9;Reactive Auto Loan Account COM;2020-10-07;2020-10-07;75895;Credit Card Account;Chilean Peso Unidades de fomento Refined real-time;2020-10-07;2020-10-07;../fake-data/blob/hipster.png;image/png
10;Markets infrastructure object-oriented;2020-10-07;2020-10-07;74833;online olive Awesome Frozen Pants;repurpose Reduced Soft;2020-10-08;2020-10-08;../fake-data/blob/hipster.png;image/png
