id;actividad;duracion;fecha_inicio;fecha_fin;orden_vista
1;Security models;90609;2020-10-07;2020-10-07;82270
2;vertical Ranch;73785;2020-10-08;2020-10-07;79369
3;Liaison convergence;64885;2020-10-07;2020-10-07;32309
4;Progressive Architect;88218;2020-10-08;2020-10-07;20619
5;SCSI morph Buckinghamshire;99553;2020-10-07;2020-10-07;37810
6;Gloves;65119;2020-10-07;2020-10-07;77060
7;Compatible actuating;70831;2020-10-07;2020-10-07;2317
8;Music Agent best-of-breed;11818;2020-10-07;2020-10-07;15140
9;Unbranded;59282;2020-10-07;2020-10-07;24252
10;extensible Croatian Kuna;11651;2020-10-08;2020-10-07;28880
