id;titulo_cronograma;fecha_inicio;fecha_fin;observaciones
1;Grocery quantify Shoes;2020-10-07;2020-10-07;sensor Pizza encoding
2;HTTP Polarised Savings Account;2020-10-07;2020-10-07;evolve Officer
3;Ergonomic Wooden Chair back up grid-enabled;2020-10-07;2020-10-08;override
4;Future De-engineered;2020-10-07;2020-10-07;Camp
5;virtual incremental;2020-10-08;2020-10-08;deploy
6;Coordinator;2020-10-08;2020-10-08;Berkshire Direct
7;COM calculating SCSI;2020-10-07;2020-10-07;leading edge HDD Iowa
8;architect Pakistan synthesize;2020-10-07;2020-10-07;Handcrafted Granite Shoes
9;Island Gorgeous Fresh Shoes;2020-10-07;2020-10-07;Customer
10;Hawaii transmit;2020-10-07;2020-10-08;Small
