id;codigo_dane;departamento
1;Chief Creek payment;back-end e-tailers copy
2;auxiliary Checking Account;mission-critical Handmade View
3;Industrial;Awesome Montenegro navigate
4;Auto Loan Account matrix;UIC-Franc Money Market Account global
5;New York;navigating
6;overriding Fresh;Central
7;navigate extend Personal Loan Account;Facilitator 5th generation
8;Facilitator Rustic Rustic;Keyboard Gorgeous
9;Home Loan Account Tactics front-end;front-end architecture port
10;Generic;migration Groves Maryland
