id;dato;elemento_proyecto_proyecto_descripcion;elemento_fases_id
1;payment mission-critical;Burgs CSS;45043
2;Avon;Savings Account;38235
3;Administrator exploit;connect calculating 24/7;41166
4;Human;silver;34677
5;modular;Handmade Rubber Chips hub hack;42506
6;Surinam Dollar Ethiopian Birr;Cotton;74148
7;Progressive Awesome Steel Salad Concrete;cultivate TCP Berkshire;20796
8;e-business;Soap Wallis and Futuna;35959
9;zero administration virtual;Checking Account;81988
10;Kiribati orchid Cambridgeshire;matrix Island;960
