id;impacto;plazo;indicador;supuestos;orden_vista
1;yellow Awesome Cotton Pants Pants;93116;Tools maximize port;Cambridgeshire;22635
2;Hong Kong Dollar Metal;6134;Brunei Dollar Markets;metrics;32704
3;Borders Auto Loan Account;91310;program Home Loan Account;Locks;536
4;contingency exploit Louisiana;1947;multi-byte;Beauty;60409
5;Small Awesome Concrete Pants mission-critical;83820;hub;payment;57034
6;compressing Kids;4852;Borders;Cross-platform Sao Tome and Principe;9492
7;UAE Dirham;74500;Fantastic Adaptive orange;Planner Junction;78786
8;initiatives Refined;82995;Automated wireless interfaces;Wooden;64763
9;Circles SDD Savings Account;7404;aggregate sexy;communities Architect Associate;69784
10;Licensed microchip;53784;Generic Wooden Bacon e-tailers calculating;user-centric transmitter ROI;27596
