id;investigacion_tipo;investigacion_tipo_descripcion;tipo;tipo_descripcion
1;Alley system-worthy;open-source;empower Incredible Optional;Mall Avon
2;Planner primary;Home Loan Account;frame Investment Account;Beauty Computers
3;cross-platform Toys Illinois;Configurable back-end;green bluetooth cross-platform;multi-byte Missouri Future
4;Practical Plastic Cheese virtual;Quality-focused Global cross-platform;Enhanced drive;invoice
5;XML;copy;deposit;Tools
6;Fantastic Plastic Soap Somali Shilling;National e-commerce;cyan Kwanza Fords;secured line
7;Bedfordshire;Borders core aggregate;port Alaska;back up Steel
8;value-added seize Licensed;Home Loan Account Mississippi;communities EXE;Central Salad
9;index Awesome;Incredible upward-trending Argentine Peso;deposit;toolset firewall National
10;International Customer Strategist;hub Senior Forint;impactful e-business;Pound Sterling support
