id;linea;codigo_linea
1;streamline;Taka hub Credit Card Account
2;Markets leverage demand-driven;Avon multi-tasking mindshare
3;productize methodologies;Future grey Maldives
4;Alaska SMTP Bedfordshire;bluetooth Rwanda Franc invoice
5;CFA Franc BCEAO;Home Awesome Concrete Shoes
6;transform;Automated indexing input
7;Ergonomic Cotton Pizza Baby;navigate Customer
8;Borders Liechtenstein Shoes;synthesizing Generic Granite
9;Tasty Wooden Soap haptic;withdrawal Engineer
10;Trail parsing transmit;Persevering
