id;nombre;url;icono;activo;es_publico;orden;rol
1;Corporate;https://jimmie.biz;infrastructures Directives;true;true;11814;feed
2;Lead Bacon 1080p;https://daphney.com;vortals;false;true;30690;demand-driven interface
3;Saint Kitts and Nevis navigating firmware;https://keely.org;Branding;false;false;3512;Consultant definition Ergonomic
4;supply-chains;http://ryder.name;Tuna payment;false;true;63595;Associate Operations Grocery
5;embrace Fresh cross-platform;http://myah.org;Personal Loan Account;true;false;76226;Toys Refined Officer
6;navigate reboot quantify;http://aileen.biz;Consultant;false;true;86259;Salad programming Investor
7;Sleek communities;http://sebastian.com;Vatu;true;false;76933;Soft Cambridgeshire
8;Response Gorgeous;https://burley.org;Steel Clothing;true;true;29872;unleash navigate
9;withdrawal;http://betty.name;Tasty;false;true;63534;Berkshire
10;Enhanced Louisiana;https://simeon.net;Bedfordshire;true;false;80948;Nevada
