id;region;codigo_dane_departamento;departamento;codigo_dane_municipio;municipio
1;Ranch Cambridgeshire;generating artificial intelligence Awesome Granite Pizza;Music deposit ivory;deposit;1080p parallelism
2;Generic;white Fiji Dollar;Specialist Engineer;Divide;Buckinghamshire invoice
3;mint green Virtual United Kingdom;Response multi-byte mobile;Devolved fault-tolerant interface;HTTP Australia;Human
4;wireless compelling Panama;Colorado Crescent;blue;Optimization overriding;array Investment Account
5;Berkshire bluetooth;viral bandwidth;Automated International Argentine Peso;paradigm Orchestrator;Mobility
6;Bedfordshire Rustic SCSI;port;local;USB Beauty;Frozen Handcrafted Wooden Bacon Ergonomic Cotton Pizza
7;open system;Intelligent Concrete Salad Rubber Holy See (Vatican City State);Chilean Peso Unidades de fomento deposit;global Ergonomic Rubber Pants;Wooden Strategist
8;Granite Frozen leverage;B2B SSL;transmitter;wireless Bedfordshire;Macedonia
9;Chief Serbia;efficient;withdrawal;transmit;5th generation navigating cutting-edge
10;HTTP Legacy;Identity Frozen;Keyboard;navigating iterate invoice;needs-based
