id;descripcion;justificacion;cantidad;valor_unitario;especie;dinero;orden_vista
1;primary Small moratorium;USB;3437;20776;10397;10653;52119
2;auxiliary;PCI Checking Account;93762;46137;21492;44555;696
3;groupware New Hampshire Small Metal Pants;parsing Branding Ergonomic;27832;50302;99898;89358;74408
4;array Fresh;Enhanced JBOD;22145;4200;61092;15291;75247
5;Refined Manager Outdoors;Singapore Dollar;72702;67175;94951;79430;93249
6;Senior Argentina;card framework;80558;4066;14839;59661;858
7;Principal;supply-chains action-items;11357;43595;34073;2672;66501
8;Gorgeous;black;31162;79572;226;40029;94288
9;Saudi Arabia back-end;Mississippi plum;49070;14051;33909;55367;62709
10;RAM Grass-roots Utah;Customer South Dakota Granite;61445;10843;6443;42416;57307
