id;titulo;cumplida;fecha_cumplimiento;observaciones
1;multi-byte Islands;true;2020-10-07;Supervisor
2;Glen secondary Mouse;true;2020-10-08;array Devolved Gibraltar Pound
3;plum Representative web-readiness;false;2020-10-07;reinvent
4;Savings Account;true;2020-10-07;Proactive Practical Rubber Shoes Rupiah
5;Money Market Account;false;2020-10-07;wireless
6;Metrics interface;false;2020-10-07;Lodge
7;optical Sausages 1080p;false;2020-10-07;SQL
8;bypass SAS calculating;true;2020-10-07;magnetic compress
9;target;true;2020-10-07;Borders Creative
10;exploit copy;true;2020-10-08;azure applications Soft
