id;resultado;indicador;beneficiario;orden_vista
1;Operative generating override;Burundi Franc XSS copying;Kids;82244
2;Legacy;proactive ADP;Hat;22905
3;core;Kazakhstan Chief;capacity;57536
4;Investor Plastic Soap;Sleek Investment Account Mississippi;Lead;40235
5;Shoes;SMS;Coordinator Buckinghamshire;95786
6;compelling Algerian Dinar;niches Shoes parsing;navigating;15311
7;Incredible Steel Chips;THX Fantastic Music;multi-byte Throughway;10529
8;Music;Iowa SCSI backing up;Awesome Wooden Pants bandwidth generate;15505
9;Fish;Argentine Peso object-oriented;Oval;69777
10;generate grow;supply-chains Kazakhstan calculating;grey;70704
