id;titulo;retroalimentacion;fecha_retroalimentacion;estado_retroalimentacion;estado_proyecto_fase
1;Clothing;Analyst;2020-10-07;2020-10-07;24497
2;Netherlands Antillian Guilder;Markets magenta;2020-10-07;2020-10-07;13521
3;XSS Libyan Dinar;Metal partnerships JBOD;2020-10-07;2020-10-07;2137
4;Gorgeous Fresh Mouse Fantastic backing up;Mission;2020-10-08;2020-10-07;52504
5;rich Virginia Computers;payment Minnesota;2020-10-07;2020-10-07;8052
6;Money Market Account PNG;Home;2020-10-07;2020-10-07;22902
7;Granite Silver Alabama;Codes specifically reserved for testing purposes;2020-10-07;2020-10-08;64516
8;frictionless turquoise;invoice Mouse Colorado;2020-10-08;2020-10-07;27415
9;parse Indian Rupee Ngultrum definition;Marketing synergize Product;2020-10-08;2020-10-07;45345
10;ADP;content Cheese object-oriented;2020-10-07;2020-10-07;16207
