id;estado;asunto;texto_solicitud;fecha_solicitud
1;false;Rubber ubiquitous;Gorgeous Concrete Soap Markets Delaware;2020-10-07
2;true;SCSI Communications Handmade Granite Computer;Accounts Architect explicit;2020-10-07
3;true;mobile Gorgeous Cotton Bacon Ukraine;Mouse Berkshire Facilitator;2020-10-07
4;true;Steel ADP;haptic;2020-10-07
5;true;EXE navigating;Kids Coordinator;2020-10-07
6;false;Soap;Electronics lavender;2020-10-07
7;false;methodology Operations;Comoro Franc Secured;2020-10-07
8;false;Chicken Cape Verde Escudo;Plastic;2020-10-07
9;true;sexy;generating Health Connecticut;2020-10-07
10;false;Dynamic;Cheese Multi-lateral override;2020-10-07
